Library code;Host taxon;Habitat;Collection code;Original filename;Read pairs;QC reads;Raw BLAST count;6C count;% Viral QC
PV574;Helianthemum cinereum;Oak;Q3P;PV574_03649AAB_GGAGCC;17232178;10448079;187683;NA;NA
PV575;Lavandula latifolia;Oak;Q3F;PV575_03650AAB_ATCTTG;28826645;17900586;86433;NA;NA
PV576;Lavandula latifolia;Oak;Q4F;PV576_03651AAB_GTTCGG;16233731;10025496;221111;NA;NA
PV577;Lithodora fruticosa;Oak;Q3F_Q3P;PV577_03652AAB_TGCCTA;13446573;7695777;148915;NA;NA
PV578;Origanum vulgare;Oak;Q1P_Q2P_Q3P;PV578_03653AAB_GCAACG;16640200;10215655;251365;NA;NA
PV579;Rhamnus lycioides;Oak;Q1F;PV579_03654AAB_TAATTG;17703168;11012233;105975;NA;NA
PV580;Rhamnus lycioides;Oak;Q2F;PV580_03655AAB_AATCCG;27241728;16721669;56908;NA;NA
PV581;Rhamnus lycioides;Oak;Q2P;PV581_03656AAB_ACTTAC;18514447;11382365;124297;NA;NA
PV582;Rhamnus lycioides;Oak;Q3F_Q3P;PV582_03657AAB_CGTCGC;14106664;8567012;92530;NA;NA
PV583;Astragalus sesameus;Wasteland;E1P;PV583_03658AAB_GTCGCG;16415560;9984816;149374;NA;NA
PV584;Astragalus sesameus;Wasteland;E3P;PV584_03659AAB_AACGGT;19241132;11847274;175203;NA;NA
PV585;Borago officinalis;Wasteland;E2P;PV585_03660AAB_TGGATT;16569797;10132882;152635;4;3.94754E-05
PV586;Fumaria parviflora;Crop;H1P;PV586_03661AAB_AGTTGC;16566239;10208341;510;4;3.91836E-05
PV587;Hirschfeldia incana;Crop;H1P;PV587_03662AAB_ACCTTC;19817314;12100347;116785;4;3.30569E-05
PV588;Hordeum vulgare;Crop;H1P;PV588_03663AAB_TCGCAT;27565399;16940148;38175;9846;0.058122279
PV589;Hordeum vulgare;Crop;H1P;PV589_03664AAB_AGGACT;14898750;9089271;16152;2510;0.027614976
PV590;Zea mays;Crop;Z1V;PV590_03982AAC_TAGCTT;12446668;12327429;331;56;0.000454272
PV067;Geranium sp;Wasteland;E1F;PV67_21354_CTTGTA;10998717;10996673;NA;NA;NA
;;;;;;;;;
;;;;;;;;;
Total;;;;;4,128,766,483;3,401,102,403;25,846,528;;
Mean;;;;;12,743,106.43;10,497,229.64;80,020.21;;
Minimum;;;;;3,052,140.00;3,051,581.00;9.00;;
;;;;;;;;;
