TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
1841654	SAMN04901295	Rhizobium sp. AC44/96		S
1132836	SAMN02469421	Rhizobium sp. CCGE 510		S
1144310	SAMN00839618	Rhizobium sp. CF080		S
1500301	SAMN02787135	Rhizobium sp. CF097		S
1144312	SAMN00839620	Rhizobium sp. CF122		S
1500304	SAMN02787060	Rhizobium sp. CF394		S
526945	SAMN02469455	Rhizobium sp. CIAT894		S
1042326	SAMN02597175	Rhizobium sp. IBUN		S
1848291	SAMN04964198	Rhizobium sp. LCM 4573		S
1736278	SAMN04151658	Rhizobium sp. Leaf155		S
1736312	SAMN04151702	Rhizobium sp. Leaf262		S
1736332	SAMN04151722	Rhizobium sp. Leaf311		S
1736355	SAMN04151745	Rhizobium sp. Leaf371		S
1736358	SAMN04151748	Rhizobium sp. Leaf384		S
1736360	SAMN04151750	Rhizobium sp. Leaf391		S
1703969	SAMN03998646	Rhizobium sp. N324		S
1566263	SAMN03159406	Rhizobium sp. NFR03		S
1566262	SAMN03159496	Rhizobium sp. NFR07		S
1566261	SAMN03159407	Rhizobium sp. NFR12		S
1125847	SAMEA3283108	Rhizobium sp. NT-26		S
1981173	SAMN06767451	Rhizobium sp. NXC14		S
1500305	SAMN02787059	Rhizobium sp. OK665		S
1736427	SAMN04155696	Rhizobium sp. Root1203		S
1736432	SAMN04155701	Rhizobium sp. Root1220		S
1736456	SAMN04155725	Rhizobium sp. Root1334		S
1736473	SAMN04155742	Rhizobium sp. Root149		S
1736506	SAMN04155775	Rhizobium sp. Root268		S
1736507	SAMN04155776	Rhizobium sp. Root274		S
1736543	SAMN04155812	Rhizobium sp. Root482		S
1736545	SAMN04155814	Rhizobium sp. Root483D2		S
1736592	SAMN04155861	Rhizobium sp. Root708		S
1907413	SAMN05880561	Rhizobium sp. RU33A		S
1907415	SAMN05880593	Rhizobium sp. RU36D		S
1860096	SAMN05213933	Rhizobium sp. YK2		S
1500257	SAMN02787140	Rhizobium sp. YR295		S
1500259	SAMN02787134	Rhizobium sp. YR519		S
1500258	SAMN02787161	Rhizobium sp. YR528		S
1532558	SAMN02953215	Rhizobium sp. YS-1r		S
1041146	SAMN02441564	Rhizobium sullae WSM1592		S
887144	SAMN05832037	Rhizobium taibaishanense		S
501024	SAMEA4501419	Rhizobium tibeticum		S
398	SAMN02787158	Rhizobium tropici		S
698761	SAMN02604105	Rhizobium tropici CIAT 899		S
1370122	SAMN02744004	Rhizobium undicola ORS 992 = ATCC 700741		S
690585	SAMN02840656	Rhizobium vignae		S
1736542	SAMN04155811	Rhodanobacter sp. Root480		
1833	AMN0348 662	Rhodococcus erythropolis		
1828	AMN0286 791	Rhodococcus fascians		
1828	AMN0584 348	Rhodococcus fascians		
1051973	AMN0452 220	Rhodococcus fascians D188		
1443905	AMN0257 004	Rhodococcus fascians LMG 3625	P	
1736300	AMN0415 688	Rhodococcus sp. Leaf225		
1736210	AMN0415 576	Rhodococcus sp. Leaf7		
1380394	SAMN02584986	Rhodospirillales bacterium URHD0088		
1187851	SAMN02469994	Rhodovulum sp. PH10		
28092	SAMN03450203	Robbsia andropogonis		
37923	AMN0593 613	Rothia kristinae		
987059	SAMN02440917	Rubrivivax benzoatilyticus JA2 = ATCC BAA-35		
1123078	AMN0244 156	Runella zeae DSM 19591		
1933778	AMN0621 933	Saccharothrix sp. ALI-22-I		
1463825	AMN0264 207	Saccharothrix sp. NRRL B-16314		
1736209	SAMN04151574	Sanguibacter sp. Leaf3		
1411141	SAMD00046907	Serratia ficaria NBRC 102596		
47917	SAMN04390144	Serratia fonticola		
615	SAMN03262644	Serratia marcescens		
1914994	AMN0597 538	Serratia oryzae		
82996	SAMN03841799	Serratia plymuthica		
399741	SAMN02598393	Serratia proteamaculans 568		
61652	SAMN04481172	Serratia rubidaea		
104623	SAMN02470747	Serratia sp. ATCC 39006		
1736223	AMN0415 603	Serratia sp. Leaf50		
1736224	SAMN04151604	Serratia sp. Leaf51		
1505757	SAMN02769539	Siccibacter colletis		
1388748	SAMN02318531	Siccibacter turicensis LMG 23730		
194963	SAMN04160749	Sinorhizobium americanum		S
935557	SAMN02440592	Sinorhizobium arboris LMG 14919		S
1117943	SAMEA2272089	Sinorhizobium fredii HH103		S
394	SAMN02603283	Sinorhizobium fredii NGR234		S
1185652	SAMN02641503	Sinorhizobium fredii USDA 257		S
366394	SAMN02598363	Sinorhizobium medicae WSM419		S
382	SAMN02952139	Sinorhizobium meliloti		S
36856	SAMN04274563	Sinorhizobium saheli		S
1945861	SAMN06293010	Sinorhizobium sp. A49		S
794846	SAMN02469491	Sinorhizobium sp. CCBAU 5631		S
1842534	SAMN04909707	Sinorhizobium sp. RAC02		S
1933220	AMN0621 354	Sphingobacterium sp. B29		
861109	SAMN02471717	Sphingobium indicum B90A		
1735693	SAMN04151590	Sphingobium sp. Leaf26		
621456	SAMN05860869	Sphingomonas melonis TY		
1560345	SAMN04417200	Sphingomonas panacis		
1090318	SAMN02441592	Sphingomonas phyllosphaerae 5.2		
